Job_No,Completed_Date,Part_No,Qty,Comp_Part,Issue_Qty
34249-0000,12/16/2021,150-0009                 ,98.00000,100-0001-RMA             ,98.00000
34249-0000,12/16/2021,150-0009                 ,98.00000,150-0010                 ,0.00000
34249-0000,12/16/2021,150-0009                 ,98.00000,200-0070                 ,0.00000
34249-0000,12/16/2021,150-0009                 ,98.00000,200-0071                 ,0.00000
34249-0000,12/16/2021,150-0009                 ,98.00000,200-0097                 ,0.00000
34249-0000,12/16/2021,150-0009                 ,98.00000,200-0104                 ,0.00000
34249-0000,12/16/2021,150-0009                 ,98.00000,200-0109                 ,0.00000
34249-0000,12/16/2021,150-0009                 ,98.00000,200-0110                 ,20.00000
34249-0000,12/16/2021,150-0009                 ,98.00000,200-0113                 ,0.00000
34249-0000,12/16/2021,150-0009                 ,98.00000,200-0202                 ,20.00000
34249-0000,12/16/2021,150-0009                 ,98.00000,210-0068                 ,0.00000
34249-0000,12/16/2021,150-0009                 ,98.00000,210-0226                 ,0.00000
34249-0000,12/16/2021,150-0009                 ,98.00000,230-0014                 ,0.00000
34249-0000,12/16/2021,150-0009                 ,98.00000,230-0176                 ,0.00000
34249-0000,12/16/2021,150-0009                 ,98.00000,230-0304                 ,0.00000
34249-0000,12/16/2021,150-0009                 ,98.00000,230-0346                 ,0.00000
34249-0000,12/16/2021,150-0009                 ,98.00000,230-0388                 ,0.00000
34249-0000,12/16/2021,150-0009                 ,98.00000,230-0396                 ,3456.00000
34249-0000,12/16/2021,150-0009                 ,98.00000,230-0418                 ,0.00000
34249-0000,12/16/2021,150-0009                 ,98.00000,260-0005                 ,0.00000
34249-0000,12/16/2021,150-0009                 ,98.00000,260-0078                 ,0.00000
34249-0000,12/16/2021,150-0009                 ,98.00000,270-0004                 ,0.00000
34249-0000,12/16/2021,150-0009                 ,98.00000,270-0036                 ,0.00000
34249-0000,12/16/2021,150-0009                 ,98.00000,285-0010                 ,0.00000
34249-0000,12/16/2021,150-0009                 ,98.00000,285-0032                 ,0.00000
34249-0000,12/16/2021,150-0009                 ,98.00000,285-0033                 ,0.00000
34249-0000,12/16/2021,150-0009                 ,98.00000,285-0039                 ,0.00000
34249-0000,12/16/2021,150-0009                 ,98.00000,285-0053                 ,0.00000
34249-0000,12/16/2021,150-0009                 ,98.00000,285-0076                 ,0.00000
34249-0000,12/16/2021,150-0009                 ,98.00000,300-0059                 ,0.00000
34249-0000,12/16/2021,150-0009                 ,98.00000,300-0074                 ,0.00000
34249-0000,12/16/2021,150-0009                 ,98.00000,300-0129                 ,0.00000
34249-0000,12/16/2021,150-0009                 ,98.00000,300-0130                 ,0.00000
34249-0000,12/16/2021,150-0009                 ,98.00000,300-0133                 ,0.00000
34249-0000,12/16/2021,150-0009                 ,98.00000,300-0247                 ,0.00000
34249-0000,12/16/2021,150-0009                 ,98.00000,300-0248                 ,0.00000
34249-0000,12/16/2021,150-0009                 ,98.00000,360-0030                 ,0.00000
34249-0000,12/16/2021,150-0009                 ,98.00000,360-0031                 ,0.00000
34249-0000,12/16/2021,150-0009                 ,98.00000,360-0032                 ,0.00000
34249-0000,12/16/2021,150-0009                 ,98.00000,360-0033                 ,0.00000
34249-0000,12/16/2021,150-0009                 ,98.00000,423-0010                 ,196.00000
34249-0000,12/16/2021,150-0009                 ,98.00000,423-0011                 ,0.00000
34249-0000,12/16/2021,150-0009                 ,98.00000,425-0003                 ,0.00000
34249-0000,12/16/2021,150-0009                 ,98.00000,430-0004                 ,0.00000
34249-0000,12/16/2021,150-0009                 ,98.00000,800-0006                 ,98.00000
34249-0000,12/16/2021,150-0009                 ,98.00000,800-0007                 ,98.00000
34249-0000,12/16/2021,150-0009                 ,98.00000,800-0018                 ,98.00000
34249-0000,12/16/2021,150-0009                 ,98.00000,800-0019                 ,98.00000
34249-0000,12/16/2021,150-0009                 ,98.00000,800-0031                 ,0.00000
34249-0000,12/16/2021,150-0009                 ,98.00000,800-0042                 ,0.00000
34249-0000,12/16/2021,150-0009                 ,98.00000,800-0032                 ,196.00000
34249-0000,12/16/2021,150-0009                 ,98.00000,800-0033                 ,0.00000
34249-0000,12/16/2021,150-0009                 ,98.00000,810-0003                 ,196.00000
34249-0000,12/16/2021,150-0009                 ,98.00000,820-0001                 ,588.00000
34249-0000,12/16/2021,150-0009                 ,98.00000,840-0001                 ,0.00000
34249-0000,12/16/2021,150-0009                 ,98.00000,840-0002                 ,98.00000
34249-0000,12/16/2021,150-0009                 ,98.00000,880-0005                 ,98.00000
34249-0000,12/16/2021,150-0009                 ,98.00000,915-0001                 ,98.00000
34249-0000,12/16/2021,150-0009                 ,98.00000,800-0031                 ,294.00000
34249-0000,12/16/2021,150-0009                 ,98.00000,800-0033                 ,98.00000

