Job_No,Due_Date,Part_No,Qty,Comp_Part,Issue_Qty
32950-0000,2/2/2021 0:00,150-0012                 ,6,100-0001-URB             ,6
32950-0000,2/2/2021 0:00,150-0012                 ,6,150-0010                 ,6
32950-0000,2/2/2021 0:00,150-0012                 ,6,200-0064                 ,9
32950-0000,2/2/2021 0:00,150-0012                 ,6,200-0068                 ,4
32950-0000,2/2/2021 0:00,150-0012                 ,6,200-0070                 ,6
32950-0000,2/2/2021 0:00,150-0012                 ,6,200-0071                 ,6
32950-0000,2/2/2021 0:00,150-0012                 ,6,200-0097                 ,24
32950-0000,2/2/2021 0:00,150-0012                 ,6,200-0104                 ,6
32950-0000,2/2/2021 0:00,150-0012                 ,6,200-0109                 ,12
32950-0000,2/2/2021 0:00,150-0012                 ,6,200-0110                 ,6
32950-0000,2/2/2021 0:00,150-0012                 ,6,200-0111                 ,6
32950-0000,2/2/2021 0:00,150-0012                 ,6,200-0113                 ,6
32950-0000,2/2/2021 0:00,150-0012                 ,6,210-0068                 ,24
32950-0000,2/2/2021 0:00,150-0012                 ,6,210-0226                 ,12
32950-0000,2/2/2021 0:00,150-0012                 ,6,230-0014                 ,36
32950-0000,2/2/2021 0:00,150-0012                 ,6,230-0176                 ,12
32950-0000,2/2/2021 0:00,150-0012                 ,6,230-0270                 ,10
32950-0000,2/2/2021 0:00,150-0012                 ,6,230-0300                 ,32
32950-0000,2/2/2021 0:00,150-0012                 ,6,230-0304                 ,72
32950-0000,2/2/2021 0:00,150-0012                 ,6,230-0346                 ,12
32950-0000,2/2/2021 0:00,150-0012                 ,6,230-0388                 ,72
32950-0000,2/2/2021 0:00,150-0012                 ,6,230-0418                 ,24
32950-0000,2/2/2021 0:00,150-0012                 ,6,260-0005                 ,12
32950-0000,2/2/2021 0:00,150-0012                 ,6,270-0004                 ,6
32950-0000,2/2/2021 0:00,150-0012                 ,6,270-0036                 ,216
32950-0000,2/2/2021 0:00,150-0012                 ,6,285-0010                 ,12
32950-0000,2/2/2021 0:00,150-0012                 ,6,285-0032                 ,6
32950-0000,2/2/2021 0:00,150-0012                 ,6,285-0033                 ,6
32950-0000,2/2/2021 0:00,150-0012                 ,6,285-0039                 ,6
32950-0000,2/2/2021 0:00,150-0012                 ,6,300-0059                 ,12
32950-0000,2/2/2021 0:00,150-0012                 ,6,300-0074                 ,12
32950-0000,2/2/2021 0:00,150-0012                 ,6,300-0129                 ,6
32950-0000,2/2/2021 0:00,150-0012                 ,6,300-0130                 ,6
32950-0000,2/2/2021 0:00,150-0012                 ,6,300-0133                 ,6
32950-0000,2/2/2021 0:00,150-0012                 ,6,360-0030                 ,12
32950-0000,2/2/2021 0:00,150-0012                 ,6,360-0031                 ,12
32950-0000,2/2/2021 0:00,150-0012                 ,6,423-0010                 ,12
32950-0000,2/2/2021 0:00,150-0012                 ,6,423-0011                 ,12
32950-0000,2/2/2021 0:00,150-0012                 ,6,425-0003                 ,12
32950-0000,2/2/2021 0:00,150-0012                 ,6,430-0004                 ,24
32950-0000,2/2/2021 0:00,150-0012                 ,6,800-0006                 ,6
32950-0000,2/2/2021 0:00,150-0012                 ,6,800-0007                 ,6
32950-0000,2/2/2021 0:00,150-0012                 ,6,800-0018                 ,6
32950-0000,2/2/2021 0:00,150-0012                 ,6,800-0019                 ,6
32950-0000,2/2/2021 0:00,150-0012                 ,6,800-0025                 ,6
32950-0000,2/2/2021 0:00,150-0012                 ,6,800-0031                 ,18
32950-0000,2/2/2021 0:00,150-0012                 ,6,800-0032                 ,12
32950-0000,2/2/2021 0:00,150-0012                 ,6,800-0033                 ,6
32950-0000,2/2/2021 0:00,150-0012                 ,6,810-0003                 ,12
32950-0000,2/2/2021 0:00,150-0012                 ,6,820-0001                 ,36
32950-0000,2/2/2021 0:00,150-0012                 ,6,840-0001                 ,6
32950-0000,2/2/2021 0:00,150-0012                 ,6,880-0005                 ,6
32950-0000,2/2/2021 0:00,150-0012                 ,6,915-0001                 ,6
32950-0000,2/2/2021 0:00,150-0012                 ,6,931-0013                 ,6
